Change,Edition,Before reference,Before text,After reference,After text,Reason,Source
source-correction,Louis Segond (1910),John 3:16,"Car Dieu a tant aimé le monde qu’il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu’il ait la vie éternelle.",John 3:16,"Car Dieu a tant aimé le monde qu’il a donné son Fils unique,afin que quiconque croit en lui ne périsse point, mais qu’il ait la vie éternelle.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Bible in Basic English (BBE),John 14:27,"Peace I leave with you; my peace I give to you: not as the world gives, do I give to you. Let not your heart be troubled, and let it have no fear.",John 14:27,May peace be with you; my peace I give to you: I give it not as the world gives. Let not your heart be troubled; let it be without fear.,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Berean Standard Bible (BSB),Isaiah 41:10,"Do not fear, for I am with you; do not be afraid, for I am your God. I will strengthen you; I will surely help you; I will uphold you with My righteous right hand.",Isaiah 41:10,"Do not fear, for I am with you; do not be afraid, for I am your God. I will strengthen you; I will surely help you; I will uphold you with My right hand of righteousness.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engbsb_usfx.zip
source-correction,Bible in Basic English (BBE),Isaiah 41:10,"Have no fear, for I am with you; be not overcome with trouble, for I am your God; I will give you strength; yes, I will be your helper; yes, my true right hand will be your support.",Isaiah 41:10,"Have no fear, for I am with you; do not be looking about in trouble, for I am your God; I will give you strength, yes, I will be your helper; yes, my true right hand will be your support.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Proverbs 3:5-6,"Put all your hope in God and have no trust in the wisdom of your own mind. In all your ways give ear to him, and he will make straight your footsteps.",Proverbs 3:5-6,"Put all your hope in God, not looking to your reason for support. In all your ways give ear to him, and he will make straight your footsteps.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 46:1,"God is our safe place and our strength, ever ready to help in times of trouble.",Psalm 46:1,"God is our harbour and our strength, a very present help in trouble.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Lutherbibel (1912),Psalm 46:1,"Ein Lied der Kinder Korah, von der Jugend, vorzusingen. Gott ist unsre Zuversicht und Stärke. Eine Hilfe in den großen Nöten, die uns getroffen haben.",Psalm 46:2,"Gott ist unsre Zuversicht und Stärke. Eine Hilfe in den großen Nöten, die uns getroffen haben.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/deu1912_usfx.zip
source-correction,Louis Segond (1910),Psalm 46:1,Au chef des chantres. Des fils de Koré. Sur alamoth. Cantique.,Psalm 46:2,"Dieu est pour nous un refuge et un appui, Un secours qui ne manque jamais dans la détresse.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Bible in Basic English (BBE),Joshua 1:9,"Have I not given you your orders? Be strong and take heart; have no fear and do not be troubled, for the Lord your God is with you wherever you go.",Joshua 1:9,"Have I not given you your orders? Take heart and be strong; have no fear and do not be troubled; for the Lord your God is with you wherever you go,","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Isaiah 40:31,"But those who are waiting for the Lord will have new strength; their wings will be like those of an eagle: running, they will not be tired, and walking, they will have no weariness.",Isaiah 40:31,"But those who are waiting for the Lord will have new strength; they will get wings like eagles: running, they will not be tired, and walking, they will have no weariness.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
